date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:43	32655/32655	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/CSV_Injection	httrack_owasp/owasp.org/www-community/attacks/CSV_Injection.html	(from https://owasp.org/www-community/attacks/)
22:19:44	37157/37157	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Cache_Poisoning	httrack_owasp/owasp.org/www-community/attacks/Cache_Poisoning.html	(from https://owasp.org/www-community/attacks/)
22:19:45	30329/30329	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Cash_Overflow	httrack_owasp/owasp.org/www-community/attacks/Cash_Overflow.html	(from https://owasp.org/www-community/attacks/)
22:19:46	34209/34209	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Clickjacking	httrack_owasp/owasp.org/www-community/attacks/Clickjacking.html	(from https://owasp.org/www-community/attacks/)
22:19:47	33295/33295	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Code_Injection	httrack_owasp/owasp.org/www-community/attacks/Code_Injection.html	(from https://owasp.org/www-community/attacks/)
22:19:48	41744/41744	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Command_Injection	httrack_owasp/owasp.org/www-community/attacks/Command_Injection.html	(from https://owasp.org/www-community/attacks/)
22:19:49	34412/34412	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Comment_Injection_Attack	httrack_owasp/owasp.org/www-community/attacks/Comment_Injection_Attack.html	(from https://owasp.org/www-community/attacks/)
22:19:50	38316/38316	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Content_Spoofing	httrack_owasp/owasp.org/www-community/attacks/Content_Spoofing.html	(from https://owasp.org/www-community/attacks/)
22:19:51	36620/36620	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Credential_stuffing	httrack_owasp/owasp.org/www-community/attacks/Credential_stuffing.html	(from https://owasp.org/www-community/attacks/)
22:19:52	33631/33631	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Cross-User_Defacement	httrack_owasp/owasp.org/www-community/attacks/Cross-User_Defacement.html	(from https://owasp.org/www-community/attacks/)
22:19:53	42619/42619	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Cross_Frame_Scripting	httrack_owasp/owasp.org/www-community/attacks/Cross_Frame_Scripting.html	(from https://owasp.org/www-community/attacks/)
22:19:54	35788/35788	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Cross_Site_History_Manipulation_(XSHM)	httrack_owasp/owasp.org/www-community/attacks/Cross_Site_History_Manipulation_(XSHM).html	(from https://owasp.org/www-community/attacks/)
22:19:54	54428/54428	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/xss/	httrack_owasp/owasp.org/www-community/attacks/xss/index.html	(from https://owasp.org/www-community/attacks/)
22:19:55	36509/36509	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Cross_Site_Tracing	httrack_owasp/owasp.org/www-community/attacks/Cross_Site_Tracing.html	(from https://owasp.org/www-community/attacks/)
22:19:56	33105/33105	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Cryptanalysis	httrack_owasp/owasp.org/www-community/attacks/Cryptanalysis.html	(from https://owasp.org/www-community/attacks/)
22:19:57	31967/31967	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Custom_Special_Character_Injection	httrack_owasp/owasp.org/www-community/attacks/Custom_Special_Character_Injection.html	(from https://owasp.org/www-community/attacks/)
22:19:58	41835/41835	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Denial_of_Service	httrack_owasp/owasp.org/www-community/attacks/Denial_of_Service.html	(from https://owasp.org/www-community/attacks/)
22:19:59	41435/41435	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Direct_Dynamic_Code_Evaluation_Eval%20Injection	httrack_owasp/owasp.org/www-community/attacks/Direct_Dynamic_Code_Evaluation_Eval%20Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:00	32673/32673	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Embedding_Null_Code	httrack_owasp/owasp.org/www-community/attacks/Embedding_Null_Code.html	(from https://owasp.org/www-community/attacks/)
22:20:01	33105/33105	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Execution_After_Redirect_(EAR)	httrack_owasp/owasp.org/www-community/attacks/Execution_After_Redirect_(EAR).html	(from https://owasp.org/www-community/attacks/)
22:20:02	34906/34906	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Forced_browsing	httrack_owasp/owasp.org/www-community/attacks/Forced_browsing.html	(from https://owasp.org/www-community/attacks/)
22:20:03	32900/32900	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Form_action_hijacking	httrack_owasp/owasp.org/www-community/attacks/Form_action_hijacking.html	(from https://owasp.org/www-community/attacks/)
22:20:04	40605/40605	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Format_string_attack	httrack_owasp/owasp.org/www-community/attacks/Format_string_attack.html	(from https://owasp.org/www-community/attacks/)
22:20:05	41233/41233	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Full_Path_Disclosure	httrack_owasp/owasp.org/www-community/attacks/Full_Path_Disclosure.html	(from https://owasp.org/www-community/attacks/)
22:20:06	36690/36690	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Function_Injection	httrack_owasp/owasp.org/www-community/attacks/Function_Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:07	34434/34434	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/HTTP_Response_Splitting	httrack_owasp/owasp.org/www-community/attacks/HTTP_Response_Splitting.html	(from https://owasp.org/www-community/attacks/)
22:20:08	30259/30259	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/LDAP_Injection	httrack_owasp/owasp.org/www-community/attacks/LDAP_Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:09	34990/34990	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Log_Injection	httrack_owasp/owasp.org/www-community/attacks/Log_Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:10	34612/34612	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Man-in-the-browser_attack	httrack_owasp/owasp.org/www-community/attacks/Man-in-the-browser_attack.html	(from https://owasp.org/www-community/attacks/)
22:20:11	34360/34360	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Manipulator-in-the-middle_attack	httrack_owasp/owasp.org/www-community/attacks/Manipulator-in-the-middle_attack.html	(from https://owasp.org/www-community/attacks/)
22:20:12	33868/33868	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Mobile_code_invoking_untrusted_mobile_code	httrack_owasp/owasp.org/www-community/attacks/Mobile_code_invoking_untrusted_mobile_code.html	(from https://owasp.org/www-community/attacks/)
22:20:13	34336/34336	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Mobile_code_non-final_public_field	httrack_owasp/owasp.org/www-community/attacks/Mobile_code_non-final_public_field.html	(from https://owasp.org/www-community/attacks/)
22:20:14	35082/35082	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Mobile_code_object_hijack	httrack_owasp/owasp.org/www-community/attacks/Mobile_code_object_hijack.html	(from https://owasp.org/www-community/attacks/)
22:20:15	34732/34732	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Parameter_Delimiter	httrack_owasp/owasp.org/www-community/attacks/Parameter_Delimiter.html	(from https://owasp.org/www-community/attacks/)
22:20:16	31041/31041	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Password_Spraying_Attack	httrack_owasp/owasp.org/www-community/attacks/Password_Spraying_Attack.html	(from https://owasp.org/www-community/attacks/)
22:20:17	41238/41238	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Path_Traversal	httrack_owasp/owasp.org/www-community/attacks/Path_Traversal.html	(from https://owasp.org/www-community/attacks/)
22:20:18	47928/47928	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Qrljacking	httrack_owasp/owasp.org/www-community/attacks/Qrljacking.html	(from https://owasp.org/www-community/attacks/)
22:20:19	32854/32854	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Reflected_DOM_Injection	httrack_owasp/owasp.org/www-community/attacks/Reflected_DOM_Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:20	38794/38794	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Regular_expression_Denial_of_Service_-_ReDoS	httrack_owasp/owasp.org/www-community/attacks/Regular_expression_Denial_of_Service_-_ReDoS.html	(from https://owasp.org/www-community/attacks/)
22:20:21	33649/33649	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Repudiation_Attack	httrack_owasp/owasp.org/www-community/attacks/Repudiation_Attack.html	(from https://owasp.org/www-community/attacks/)
22:20:22	38382/38382	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Resource_Injection	httrack_owasp/owasp.org/www-community/attacks/Resource_Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:23	39678/39678	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Reverse_Tabnabbing	httrack_owasp/owasp.org/www-community/attacks/Reverse_Tabnabbing.html	(from https://owasp.org/www-community/attacks/)
22:20:24	43359/43359	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/SQL_Injection	httrack_owasp/owasp.org/www-community/attacks/SQL_Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:25	35761/35761	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Server-Side_Includes_(SSI)_Injection	httrack_owasp/owasp.org/www-community/attacks/Server-Side_Includes_(SSI)_Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:26	31847/31847	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Server_Side_Request_Forgery	httrack_owasp/owasp.org/www-community/attacks/Server_Side_Request_Forgery.html	(from https://owasp.org/www-community/attacks/)
22:20:27	33035/33035	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Session_Prediction	httrack_owasp/owasp.org/www-community/attacks/Session_Prediction.html	(from https://owasp.org/www-community/attacks/)
22:20:28	35603/35603	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Session_fixation	httrack_owasp/owasp.org/www-community/attacks/Session_fixation.html	(from https://owasp.org/www-community/attacks/)
22:20:29	34847/34847	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Session_hijacking_attack	httrack_owasp/owasp.org/www-community/attacks/Session_hijacking_attack.html	(from https://owasp.org/www-community/attacks/)
22:20:30	34487/34487	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Setting_Manipulation	httrack_owasp/owasp.org/www-community/attacks/Setting_Manipulation.html	(from https://owasp.org/www-community/attacks/)
22:20:31	37350/37350	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Special_Element_Injection	httrack_owasp/owasp.org/www-community/attacks/Special_Element_Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:32	32459/32459	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Spyware	httrack_owasp/owasp.org/www-community/attacks/Spyware.html	(from https://owasp.org/www-community/attacks/)
22:20:33	34108/34108	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Traffic_flood	httrack_owasp/owasp.org/www-community/attacks/Traffic_flood.html	(from https://owasp.org/www-community/attacks/)
22:20:34	34850/34850	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Trojan_Horse	httrack_owasp/owasp.org/www-community/attacks/Trojan_Horse.html	(from https://owasp.org/www-community/attacks/)
22:20:35	34353/34353	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Unicode_Encoding	httrack_owasp/owasp.org/www-community/attacks/Unicode_Encoding.html	(from https://owasp.org/www-community/attacks/)
22:20:36	35450/35450	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Web_Parameter_Tampering	httrack_owasp/owasp.org/www-community/attacks/Web_Parameter_Tampering.html	(from https://owasp.org/www-community/attacks/)
22:20:37	34006/34006	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Windows_alternate_data_stream	httrack_owasp/owasp.org/www-community/attacks/Windows_alternate_data_stream.html	(from https://owasp.org/www-community/attacks/)
22:20:38	38080/38080	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/XPATH_Injection	httrack_owasp/owasp.org/www-community/attacks/XPATH_Injection.html	(from https://owasp.org/www-community/attacks/)
22:20:39	29813/29813	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/XSRF	httrack_owasp/owasp.org/www-community/attacks/XSRF.html	(from https://owasp.org/www-community/attacks/)
22:20:40	31592/31592	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/XSS_in_Converting_File_Content_to_Text	httrack_owasp/owasp.org/www-community/attacks/XSS_in_Converting_File_Content_to_Text.html	(from https://owasp.org/www-community/attacks/)
22:20:41	33202/33202	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/Xss_in_subtitle	httrack_owasp/owasp.org/www-community/attacks/Xss_in_subtitle.html	(from https://owasp.org/www-community/attacks/)
22:20:42	48705/48705	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/csrf	httrack_owasp/owasp.org/www-community/attacks/csrf.html	(from https://owasp.org/www-community/attacks/)
22:20:43	35748/35748	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/web_services_amplification	httrack_owasp/owasp.org/www-community/attacks/web_services_amplification.html	(from https://owasp.org/www-community/attacks/)
22:20:43	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:43%20GMT	https://owasp.org/www-community/attacks/document/4_Web_Application_Security_Testing/4.8_Input_Validation_Testing/4.8.5_Testing_for_SQL_Injection_WSTG-INPVAL-005.md	httrack_owasp/owasp.org/www-community/attacks/document/4_Web_Application_Security_Testing/4.8_Input_Validation_Testing/4.8.5_Testing_for_SQL_Injection_WSTG-INPVAL-005.md	(from https://owasp.org/www-community/attacks/Blind_SQL_Injection)
22:20:44	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:44%20GMT	https://owasp.org/www-community/attacks/Threat_Agents	httrack_owasp/owasp.org/www-community/attacks/Threat_Agents	(from https://owasp.org/www-community/attacks/Content_Spoofing)
22:20:46	40208/40208	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202024%2005:04:38%20GMT	https://owasp.org/www-community/attacks/DOM_Based_XSS	httrack_owasp/owasp.org/www-community/attacks/DOM_Based_XSS.html	(from https://owasp.org/www-community/attacks/xss/)
22:20:46	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Dec%202024%2021:20:46%20GMT	https://owasp.org/www-community/attacks/xss	httrack_owasp/owasp.org/www-community/attacks/xss	(from https://owasp.org/www-community/attacks/Cross_Frame_Scripting)
22:20:47	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Dec%202024%2021:20:47%20GMT	https://owasp.org/www-community/attacks/xss	httrack_owasp/owasp.org/www-community/attacks/xss	(from https://owasp.org/www-community/attacks/Cross_Site_History_Manipulation_(XSHM))
22:20:48	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Dec%202024%2021:20:48%20GMT	https://owasp.org/www-community/attacks/xss	httrack_owasp/owasp.org/www-community/attacks/xss	(from https://owasp.org/www-community/attacks/Cross_Site_History_Manipulation_(XSHM))
22:20:49	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:49%20GMT	https://owasp.org/www-community/attacks/OWASP_Israel_2010_02	httrack_owasp/owasp.org/www-community/attacks/OWASP_Israel_2010_02	(from https://owasp.org/www-community/attacks/Cross_Site_History_Manipulation_(XSHM))
22:20:50	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Dec%202024%2021:20:50%20GMT	https://owasp.org/www-community/attacks/xss	httrack_owasp/owasp.org/www-community/attacks/xss	(from https://owasp.org/www-community/attacks/Cross_Site_Tracing)
22:20:51	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Dec%202024%2021:20:51%20GMT	https://owasp.org/www-community/attacks/xss	httrack_owasp/owasp.org/www-community/attacks/xss	(from https://owasp.org/www-community/attacks/Cross_Site_Tracing)
22:20:52	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Dec%202024%2021:20:52%20GMT	https://owasp.org/www-community/attacks/xss	httrack_owasp/owasp.org/www-community/attacks/xss	(from https://owasp.org/www-community/attacks/Cross_Site_Tracing)
22:20:53	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:53%20GMT	https://owasp.org/www-community/attacks/Testing_for_HTTP_Methods_and_XST_/(OWASP-CM-008/)	httrack_owasp/owasp.org/www-community/attacks/Testing_for_HTTP_Methods_and_XST_/(OWASP-CM-008/)	(from https://owasp.org/www-community/attacks/Cross_Site_Tracing)
22:20:54	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:54%20GMT	https://owasp.org/www-community/attacks/Buffer_Overflow_attack	httrack_owasp/owasp.org/www-community/attacks/Buffer_Overflow_attack	(from https://owasp.org/www-community/attacks/Denial_of_Service)
22:20:55	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:55%20GMT	https://owasp.org/www-community/attacks/Internal_software_developer	httrack_owasp/owasp.org/www-community/attacks/Internal_software_developer	(from https://owasp.org/www-community/attacks/Forced_browsing)
22:20:56	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:56%20GMT	https://owasp.org/www-community/attacks/Buffer_Overflow	httrack_owasp/owasp.org/www-community/attacks/Buffer_Overflow	(from https://owasp.org/www-community/attacks/Format_string_attack)
22:20:57	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:57%20GMT	https://owasp.org/www-community/attacks/internal_software_developer	httrack_owasp/owasp.org/www-community/attacks/internal_software_developer	(from https://owasp.org/www-community/attacks/Full_Path_Disclosure)
22:20:58	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:58%20GMT	https://owasp.org/www-community/attacks/Error_Handling	httrack_owasp/owasp.org/www-community/attacks/Error_Handling	(from https://owasp.org/www-community/attacks/Full_Path_Disclosure)
22:20:59	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:20:59%20GMT	https://owasp.org/www-community/attacks/Bounds_Checking	httrack_owasp/owasp.org/www-community/attacks/Bounds_Checking	(from https://owasp.org/www-community/attacks/Full_Path_Disclosure)
22:21:00	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:21:00%20GMT	https://owasp.org/www-community/attacks/Safe_Libraries	httrack_owasp/owasp.org/www-community/attacks/Safe_Libraries	(from https://owasp.org/www-community/attacks/Full_Path_Disclosure)
22:21:01	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:21:01%20GMT	https://owasp.org/www-community/attacks/Static_Code_Analysis	httrack_owasp/owasp.org/www-community/attacks/Static_Code_Analysis	(from https://owasp.org/www-community/attacks/Full_Path_Disclosure)
22:21:02	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:21:02%20GMT	https://owasp.org/www-community/attacks/Executable_space_protection	httrack_owasp/owasp.org/www-community/attacks/Executable_space_protection	(from https://owasp.org/www-community/attacks/Full_Path_Disclosure)
22:21:03	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:21:03%20GMT	https://owasp.org/www-community/attacks/Address_space_layout_randomization_/(ASLR/)	httrack_owasp/owasp.org/www-community/attacks/Address_space_layout_randomization_/(ASLR/)	(from https://owasp.org/www-community/attacks/Full_Path_Disclosure)
22:21:04	29283/29283	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202024%2021:21:04%20GMT	https://owasp.org/www-community/attacks/Stack-smashing_Protection_/(SSP/)	httrack_owasp/owasp.org/www-community/attacks/Stack-smashing_Protection_/(SSP/)	(from https://owasp.org/www-community/attacks/Full_Path_Disclosure)
